SKU,Total_Quantity,Total_Orders,Avg_Quantity_Per_Order,Total_Revenue,Avg_Order_Value,First_Sale,Last_Sale,Revenue_Per_Unit,Days_Active,Daily_Avg_Quantity
ACFT13,166,248,0.67,403106.72,1625.43,2025-01-01,2025-06-30,2428.353734939759,181,0.9171270718232044
ACIB6DS,93,117,0.79,320720.93,2741.2,2025-01-01,2025-06-30,3448.6121505376345,181,0.5138121546961326
ACLRM01,779,1386,0.56,1239326.93,894.18,2025-01-01,2025-06-30,1590.920320924262,181,4.303867403314917
ACPV3,29,43,0.67,27724.09,644.75,2025-01-01,2025-03-14,956.0031034482759,73,0.3972602739726027
ACTL2.0,84,138,0.61,236100.55,1710.87,2025-01-01,2025-06-30,2810.7208333333333,181,0.46408839779005523
ACTL2.9,6,8,0.75,25842.38,3230.3,2025-01-25,2025-04-14,4307.0633333333335,80,0.075
ACTL3.8,89,117,0.76,442628.94,3783.15,2025-01-01,2025-06-30,4973.358876404494,181,0.49171270718232046
ACTL5.0,0,12,0.0,-169.49,-14.12,2025-01-05,2025-03-02,-inf,57,0.0
ACTL6.0,18,22,0.82,146257.67,6648.08,2025-01-01,2025-06-13,8125.426111111112,164,0.10975609756097561
CHSM1,35,79,0.44,18732.98,237.13,2025-01-01,2025-03-31,535.228,90,0.3888888888888889
CKS1,190,245,0.78,100212.37,409.03,2025-01-01,2025-06-30,527.4335263157894,181,1.0497237569060773
CKS3,54,84,0.64,27290.56,324.89,2025-01-01,2025-06-30,505.38074074074075,181,0.2983425414364641
CMSM01,944,2924,0.32,790527.31,270.36,2025-01-01,2025-06-30,837.422997881356,181,5.2154696132596685
CMSM01A,4608,11068,0.42,4674622.93,422.35,2025-01-01,2025-06-30,1014.4581011284722,181,25.4585635359116
CMSM01B,189,1019,0.19,224081.71,219.9,2025-01-01,2025-06-28,1185.6175132275132,179,1.0558659217877095
CMSM01C,4024,9120,0.44,4721429.69,517.7,2025-01-01,2025-06-30,1173.3175173956263,181,22.23204419889503
CMSM01D,1137,3297,0.34,1078974.21,327.26,2025-01-01,2025-06-30,948.9658839050131,181,6.281767955801105
CMSM06,703,1080,0.65,661585.48,612.58,2025-01-03,2025-06-30,941.0888762446657,179,3.9273743016759775
CMSM061,289,451,0.64,376997.22,835.91,2025-01-01,2025-06-30,1304.4886505190311,181,1.5966850828729282
CMSM062,711,1199,0.59,916377.67,764.28,2025-01-01,2025-06-30,1288.857482419128,181,3.9281767955801103
CMSM06A,386,581,0.66,434615.29,748.05,2025-01-01,2025-06-30,1125.946347150259,181,2.132596685082873
CMSM06A1,1136,1761,0.65,1500361.09,851.99,2025-01-01,2025-06-30,1320.7403961267607,181,6.276243093922652
CMSM06A2,464,701,0.66,652967.84,931.48,2025-01-01,2025-06-30,1407.2582758620688,181,2.56353591160221
CMSM08,22,70,0.31,23559.02,336.56,2025-01-01,2025-01-31,1070.8645454545456,31,0.7096774193548387
CMSM081,70,258,0.27,109156.98,423.09,2025-01-01,2025-05-01,1559.3854285714285,121,0.5785123966942148
CMSM082,98,312,0.31,131183.67,420.46,2025-01-01,2025-03-31,1338.6088775510204,90,1.0888888888888888
CMSM08A,64,196,0.33,79690.35,406.58,2025-01-01,2025-06-23,1245.16171875,174,0.367816091954023
CMSM08A1,28,100,0.28,42931.16,429.31,2025-01-01,2025-06-14,1533.2557142857145,165,0.1696969696969697
CMSM08A2,58,188,0.31,92642.85,492.78,2025-01-01,2025-06-30,1597.2905172413793,181,0.32044198895027626
CPS1,63,85,0.74,58254.15,685.34,2025-01-01,2025-06-30,924.6690476190477,181,0.34806629834254144
CPS2,1,5,0.2,1100.85,220.17,2025-05-05,2025-06-08,1100.85,35,0.02857142857142857
CSAK02,465,500,0.93,258926.98,517.85,2025-01-01,2025-06-30,556.8322150537634,181,2.569060773480663
CSAK03,81,120,0.68,67541.53,562.85,2025-01-01,2025-06-30,833.846049382716,181,0.44751381215469616
CSKA01,277,301,0.92,124271.12,412.86,2025-01-01,2025-06-30,448.632202166065,181,1.5303867403314917
D8507,473,679,0.7,1036098.98,1525.92,2025-01-01,2025-06-30,2190.4841014799154,181,2.613259668508287
