sku,urgency,order_date,recommended_qty,moq,estimated_cost,days_remaining,lead_time,current_stock,daily_demand
CMSM06A1,CRITICAL,URGENT - Order Today,405,180,40500,6.4,10,77,12.06
D8507,CRITICAL,URGENT - Order Today,174,78,17400,6.8,10,36,5.26
LRM03,CRITICAL,URGENT - Order Today,696,240,69600,7.2,12,145,20.05
LTF-01,CRITICAL,URGENT - Order Today,326,150,32600,7.4,10,74,10.01
JSD-02,CRITICAL,URGENT - Order Today,253,117,25300,7.8,10,61,7.86
CMSM01C,CRITICAL,URGENT - Order Today,3236,785,323600,7.9,15,690,87.25
CMSM01A,CRITICAL,URGENT - Order Today,2043,495,204300,7.9,15,435,55.07
SM-519,CRITICAL,URGENT - Order Today,308,144,30800,7.9,10,76,9.61
LRM02,CRITICAL,URGENT - Order Today,1719,421,171900,8.3,15,391,46.89
LRM021,CRITICAL,URGENT - Order Today,319,150,31900,8.3,10,83,10.06
LPB01BL,CRITICAL,URGENT - Order Today,68,32,6800,8.6,10,19,2.2
LSG01,CRITICAL,URGENT - Order Today,124,59,12400,8.8,10,35,3.98
HY628,CRITICAL,URGENT - Order Today,101,50,10100,9.8,10,33,3.37
ACLRM01,HIGH,Order within 3 days,199,101,19900,10.5,10,71,6.77
CMSM01D,HIGH,Order within 3 days,32,20,3200,12.1,10,14,1.16
