SKU,Total_Quantity,Total_Orders,Avg_Quantity_Per_Order,Total_Revenue,Avg_Order_Value,First_Sale,Last_Sale,Revenue_Per_Unit,Days_Active,Daily_Avg_Quantity
LRM02,5607,9089,0.62,10771827.78,1185.15,2025-01-01,2025-06-30,1921.1392509363295,181,30.977900552486187
CMSM01C,4024,9120,0.44,4721429.69,517.7,2025-01-01,2025-06-30,1173.3175173956263,181,22.23204419889503
CMSM01A,4608,11068,0.42,4674622.93,422.35,2025-01-01,2025-06-30,1014.4581011284722,181,25.4585635359116
JSD-02,656,870,0.75,2645532.24,3040.84,2025-01-01,2025-06-30,4032.823536585366,181,3.6243093922651934
LRM021,1274,3057,0.42,2517864.48,823.64,2025-01-01,2025-06-30,1976.3457456828885,181,7.038674033149171
HY628,442,607,0.73,1896816.0,3124.9,2025-01-01,2025-06-30,4291.43891402715,181,2.4419889502762433
LSG01,625,939,0.67,1708619.75,1819.62,2025-01-01,2025-06-30,2733.7916,181,3.453038674033149
LPB01BL,943,1502,0.63,1538804.67,1024.5,2025-01-01,2025-06-30,1631.8183138918346,181,5.209944751381215
CMSM06A1,1136,1761,0.65,1500361.09,851.99,2025-01-01,2025-06-30,1320.7403961267607,181,6.276243093922652
LRM03,544,895,0.61,1323255.76,1478.5,2025-01-01,2025-06-30,2432.4554411764707,181,3.005524861878453
LTF-01,540,1066,0.51,1265486.37,1187.14,2025-02-10,2025-06-30,2343.493277777778,141,3.8297872340425534
ACLRM01,779,1386,0.56,1239326.93,894.18,2025-01-01,2025-06-30,1590.920320924262,181,4.303867403314917
CMSM01D,1137,3297,0.34,1078974.21,327.26,2025-01-01,2025-06-30,948.9658839050131,181,6.281767955801105
SM-519,262,546,0.48,1039365.6,1903.6,2025-01-01,2025-06-30,3967.04427480916,181,1.4475138121546962
D8507,473,679,0.7,1036098.98,1525.92,2025-01-01,2025-06-30,2190.4841014799154,181,2.613259668508287
LSJ01,118,166,0.71,971612.84,5853.09,2025-01-02,2025-06-30,8234.007118644067,180,0.6555555555555556
LTF-02,401,823,0.49,947821.62,1151.67,2025-02-08,2025-06-30,2363.6449376558603,143,2.804195804195804
CMSM062,711,1199,0.59,916377.67,764.28,2025-01-01,2025-06-30,1288.857482419128,181,3.9281767955801103
HS206C,161,224,0.72,913008.25,4075.93,2025-01-21,2025-06-30,5670.858695652174,161,1.0
CMSM01,944,2924,0.32,790527.31,270.36,2025-01-01,2025-06-30,837.422997881356,181,5.2154696132596685
