Date,Orderid,Partyname,SKU,Asin,Quantity,Rate,Amount,Destination,Stateto,City,Pincode,Statefrom,Godown
2025-01-01,OD332730263396902100,Flipkart Store,CMSM01,,1,802.68,802.68,,Kerala,,673308.0,west bengal,2W2500
2025-01-01,OD332885939262440100,Flipkart Store,CMSM01C,,1,1516.96,1516.96,,Gujarat,,384290.0,west bengal,A92500
2025-01-01,OD332895023755583100,Flipkart Store,CMSM01C,,1,1516.96,1516.96,,Bihar,,802132.0,west bengal,A92500
2025-01-01,OD332928635072450100,Flipkart Store,CMSM01A,,1,1043.75,1043.75,,Maharashtra,,416704.0,west bengal,A92500
2025-01-01,OD332936023337479100,Flipkart Store,CMSM01,,1,936.61,936.61,,Tamil Nadu,,603109.0,west bengal,2W2500
2025-01-01,OD332937437880550100,Flipkart Store,CMSM01C,,1,1516.96,1516.96,,Delhi,,110094.0,west bengal,A92500
2025-01-01,OD332941142588445100,Flipkart Store,CMSM01,,1,936.61,936.61,,Telangana,,500086.0,west bengal,2W2500
2025-01-01,OD332945540425264400,Flipkart Store,CMSM08,,1,1070.54,1070.54,,Haryana,,122001.0,west bengal,2W2500
2025-01-01,OD332961634916762100,Flipkart Store,CMSM01,,1,936.61,936.61,,West Bengal,,721424.0,west bengal,2W2500
2025-01-01,OD332965596241032100,Flipkart Store,CMSM01D,,1,1070.54,1070.54,,Haryana,,122001.0,west bengal,2W2500
2025-01-01,OD332966803478809100,Flipkart Store,LRM021,,1,2011.86,2011.86,,Bihar,,803110.0,west bengal,A92500
2025-01-01,OD332967001362770100,Flipkart Store,CMSM01A,,1,1043.75,1043.75,,Tamil Nadu,,628002.0,west bengal,2W2500
2025-01-01,OD332973836314233100,Flipkart Store,CMSM01D,,1,1070.54,1070.54,,West Bengal,,732206.0,west bengal,2W2500
2025-01-01,OD332976314513468100,Flipkart Store,LIRH01,,1,761.86,761.86,,Delhi,,110008.0,west bengal,2W2500
2025-01-01,OD332979609566907100,Flipkart Store,CMSM01D,,1,1070.54,1070.54,,West Bengal,,713146.0,west bengal,2W2500
2025-01-01,OD332979742740387400,Flipkart Store,CMSM01B,,1,1166.96,1166.96,,Gujarat,,395007.0,west bengal,2W2500
2025-01-01,OD332979742740387400,Flipkart Store,CMSM01B,,1,1166.96,1166.96,,Gujarat,,395007.0,west bengal,2W2500
2025-01-01,OD332979851442388100,Flipkart Store,CMSM01A,,1,1043.75,1043.75,,Himachal Pradesh,,171005.0,west bengal,2W2500
2025-01-01,OD332979888813201100,Flipkart Store,CMSM01,,1,891.96,891.96,,Karnataka,,585222.0,west bengal,2W2500
2025-01-01,OD332979891727433100,Flipkart Store,CMSM01,,1,891.96,891.96,,Maharashtra,,401305.0,west bengal,2W2500
2025-01-01,OD332979995823160100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Mizoram,,796014.0,west bengal,2W2500
2025-01-01,OD332979995823160100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Mizoram,,796014.0,west bengal,2W2500
2025-01-01,OD332980006864887100,Flipkart Store,CMSM01D,,1,1070.54,1070.54,,Uttar Pradesh,,281005.0,west bengal,2W2500
2025-01-01,OD332980244389145100,Flipkart Store,CMSM01D,,1,1070.54,1070.54,,West Bengal,,712612.0,west bengal,2W2500
2025-01-01,OD332980283676085100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Tamil Nadu,,643217.0,west bengal,2W2500
2025-01-01,OD332980283676085100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Tamil Nadu,,643217.0,west bengal,2W2500
2025-01-01,OD332980283676085100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Tamil Nadu,,643217.0,west bengal,2W2500
2025-01-01,OD332980283676085100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Tamil Nadu,,643217.0,west bengal,2W2500
2025-01-01,OD332981134421081100,Flipkart Store,LIRH01,,1,761.86,761.86,,Uttar Pradesh,,226021.0,west bengal,2W2500
2025-01-01,OD332981615335453100,Flipkart Store,CMSM01,,1,891.96,891.96,,Kerala,,689501.0,west bengal,2W2500
2025-01-01,OD332981972919597100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Tamil Nadu,,635113.0,west bengal,2W2500
2025-01-01,OD332981972919597100,Flipkart Store,CMSM01B,,1,1186.61,1186.61,,Tamil Nadu,,635113.0,west bengal,2W2500
2025-01-01,OD332982212001418100,Flipkart Store,CMSM01,,1,869.64,869.64,,Odisha,,761010.0,west bengal,2W2500
2025-01-01,OD332982681772138100,Flipkart Store,CMSM01,,1,713.39,713.39,,Haryana,,122001.0,west bengal,2W2500
2025-01-01,OD332982707401616100,Flipkart Store,CMSM01,,1,891.96,891.96,,Bihar,,824231.0,west bengal,2W2500
