SKU,MAPE,wMAPE,RMSE,Directional_Accuracy,Volume_Accuracy,Actual_Total,Predicted_Total,Confidence,Test_Months,Train_Months
LRM02,42.08893439714428,95.49241492414924,962.1330054472407,58.333333333333336,4.535465354653545,8130,368.7333333333333,Low,13,28
JSD-02,50.66729007912827,88.52892312339526,318.71697630916105,62.5,11.564718320495393,2207,255.23333333333335,Low,9,20
LSJ01,30.65075305147293,21.54696132596685,4.11856681293294,72.72727272727273,87.21915285451198,181,204.13333333333333,Low,12,28
ACTL6.0,39.81042139077854,12.54098360655738,1.2883790726803332,84.61538461538461,97.24043715846996,122,125.36666666666665,Low,14,31
LMX04,43.44696818405542,34.41896024464832,18.612992027673094,80.0,71.49847094801224,436,311.73333333333335,Low,16,36
LSG01,29.078976125107026,65.05717552887363,83.79608262951369,43.75,34.942824471126364,1166,407.43333333333334,Low,17,39
HS206C,49.04280964017675,38.65561694290976,19.654402955967797,80.0,67.38489871086557,362,243.93333333333334,Low,11,24
LGM747,63.58283132241943,20.77669902912621,4.173017382431335,92.85714285714286,83.10679611650484,206,240.8,Low,15,35
ACIB6DS,56.86180843814831,14.99346405228758,2.848832735212156,83.33333333333334,93.13725490196079,255,272.5,Low,19,43
SM-519,46.80456555425965,36.14401858304298,20.867110396418003,75.0,73.47270615563299,287,210.86666666666667,Low,9,18
ACTL3.8,57.25340184785887,9.370629370629372,1.9461994521868275,83.33333333333334,92.9137529137529,143,153.13333333333335,Low,13,30
JWS-0801,152.73976920651077,67.46928746928748,48.87785481542766,87.5,41.5069615069615,407,168.93333333333334,Low,9,20
ACTL5.0,20.059423601090266,8.750000000000004,0.9878427675158297,90.9090909090909,98.75,104,102.7,Medium,12,26
SM-617,219.67248887172985,54.47236180904523,26.991656559194805,83.33333333333334,67.87269681742043,199,135.06666666666666,Low,7,16
LRM03,90.08442093791643,90.38819377606674,191.98017721745242,75.0,9.611806223933272,1039,99.86666666666666,Low,5,10
