Date,OrderID,Platform,SKU,ASIN,Quantity,Rate,Amount,State,City,Pincode,Category,Source
2018-06-29,,Flipkart Store,ACMN01,,1,999.05,999.05,,Taliparamba,670142.0,,Historical_historical_data_2018_nov2024
2018-06-30,,Flipkart Store,LEK02,,1,592.37,592.37,,Itanagar,791111.0,,Historical_historical_data_2018_nov2024
2018-06-30,,Flipkart Store,ACMN01,,1,999.05,999.05,,Naldanga,712123.0,,Historical_historical_data_2018_nov2024
2018-06-30,,Flipkart Store,13MMID,,1,2372.03,2372.03,,KRISHNAGIRI,635113.0,,Historical_historical_data_2018_nov2024
2018-06-30,,Flipkart Store,CMSM01,,1,891.96,891.96,,Bangalore,560070.0,,Historical_historical_data_2018_nov2024
2018-06-30,,Flipkart Store,ACMN02,,1,1141.9,1141.9,,Pune,411061.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Flipkart Store,CMSM01,,1,891.96,891.96,,Patna,800004.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,ACLRM01,,1,1524.58,1524.58,,KOLKATA,700015.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,ACFT15,,1,2231.25,2231.25,,NEW DELHI,110085.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,LBL1450B,,1,2541.53,2541.53,,GUWAHATI,781029.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,LWM01,,1,1100.85,1100.85,,NEW DELHI,110001.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,LEK02,,1,592.37,592.37,,BENGALURU,560011.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Flipkart Store,13MMID,,1,2372.03,2372.03,,BANGALORE,562107.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Flipkart Store,ACMN03,,1,999.05,999.05,,Chennai,600124.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,ACFT13,,1,1695.54,1695.54,,MUMBAI,400012.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,LA1,,1,2052.68,2052.68,,PORT BLAIR,744101.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,ACMN02,,1,951.43,951.43,,KADUNGALLOOR,683511.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,ACMN01,,1,999.05,999.05,,PATHANKOT,145001.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,CMSM03,,1,981.25,981.25,,LIMKHEDA,389140.0,,Historical_historical_data_2018_nov2024
2018-07-01,,Amazon Stores,13MMID4,,1,2372.03,2372.03,,BELTANGADI,574240.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,ACLRM01,,1,1609.32,1609.32,,VADAMA,680732.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Flipkart Store,CMSM01,,1,891.96,891.96,,Goalpara,783121.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,CMSM03,,1,981.25,981.25,,KOLAR,563101.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,13MMID4,,1,2372.03,2372.03,,RAU,453331.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,LA1,,1,2231.25,2231.25,,Navi Mumbai,400706.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,ACMN02,,1,951.43,951.43,,JALNA,431203.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,ACFT15,,1,2231.25,2231.25,,CHENNAI,600107.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,LPM01,,1,1185.59,1185.59,,ALA,680668.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Flipkart Store,ACMN03,,1,999.05,999.05,,Darbhanga,846004.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,LWM01,,1,1100.85,1100.85,,BENGALURU,560003.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,LYM01,,1,1355.08,1355.08,,DHARMSALA,176215.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,ACMN01,,1,999.05,999.05,,HYDERABAD,502319.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,LBL1450B,,1,2541.53,2541.53,,AHMEDABAD,380001.0,,Historical_historical_data_2018_nov2024
2018-07-02,,Amazon Stores,ACFT13,,1,1695.54,1695.54,,Greater Noida,201308.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,ACFT13,,1,1606.25,1606.25,,Mumbai,400013.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,LNB02,,1,1694.07,1694.07,,MUMBAI,400050.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,ACLRM01,,1,1524.58,1524.58,,BENGALURU,560032.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,ACMN02,,1,951.43,951.43,,BENGALURU,560016.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,13MMID4,,1,2372.03,2372.03,,NANGAL,140124.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,ACFT15,,1,2231.25,2231.25,,DURG,491001.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,ACMN01,,1,999.05,999.05,,HYDERABAD,500018.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Flipkart Store,ACMN03,,1,999.05,999.05,,Kannapuram,670301.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,LEK02,,1,592.37,592.37,,SOLAN,173212.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,CMSM03,,1,981.25,981.25,,CHIKKAMAGALURU,577101.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,LWM01,,1,1100.85,1100.85,,PUNE,411036.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,LBL520,,1,1694.07,1694.07,,NEW TOWN,700157.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Amazon Stores,LRM02,,1,1694.07,1694.07,,PATALGANGA MIDC,410207.0,,Historical_historical_data_2018_nov2024
2018-07-03,,Flipkart Store,CMSM01,,1,891.96,891.96,,Bangalore,560066.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,ACMN01,,1,999.05,999.05,,Mumbai,400101.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,ACFT13,,1,1695.54,1695.54,,PUNE,411004.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Flipkart Store,CMSM01,,1,891.96,891.96,,Thane,400604.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,13MMID4,,1,2372.03,2372.03,,NAKREKAL,508211.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Flipkart Store,LEK02,,1,592.37,592.37,,bhubaneswar,751012.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Flipkart Store,ACMN03,,1,948.57,948.57,,Chennai,600073.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,CMSM03,,1,981.25,981.25,,surat,394107.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,CHTK01,,1,1609.32,1609.32,,MALAPPURAM,676519.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,ACMN02,,1,951.43,951.43,,KASARAGOD,671316.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,LNB02,,1,1609.32,1609.32,,KOLHAPUR,416003.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,ACLRM01,,1,1609.32,1609.32,,LUCKNOW,226010.0,,Historical_historical_data_2018_nov2024
2018-07-04,,Amazon Stores,ACFT131,,1,1695.54,1695.54,,JAIPUR,302019.0,,Historical_historical_data_2018_nov2024
2018-07-05,,Amazon Stores,ACMN02,,1,951.43,951.43,,Nellore,524001.0,,Historical_historical_data_2018_nov2024
2018-07-05,,Amazon Stores,LBL1450B,,1,2541.53,2541.53,,ANANTAPUR,515001.0,,Historical_historical_data_2018_nov2024
2018-07-05,,Amazon Stores,ACFT13,,1,1695.54,1695.54,,VAPI,396195.0,,Historical_historical_data_2018_nov2024
2018-07-05,,Flipkart Store,ACMN03,,1,999.05,999.05,,PONDICHERRY,605004.0,,Historical_historical_data_2018_nov2024
2018-07-05,,Amazon Stores,ACMN01,,1,999.05,999.05,,UTEKHOL,402104.0,,Historical_historical_data_2018_nov2024
