Date,Orderid,Partyname,SKU,Asin,Quantity,Rate,Amount,Destination,Stateto,City,Pincode,Statefrom,Godown
2025-01-01,OD332793289579750100,Flipkart Store,CMSM01,,1,-865.18,865.18,,Delhi,,110062.0,west bengal,2W2500
2025-01-01,OD332904559497566100,Flipkart Store,CMSM01C,,1,-1516.96,1516.96,,Bihar,,811311.0,west bengal,A92500
2025-01-01,OD332923211392392100,Flipkart Store,CMSM01A,,1,-1043.75,1043.75,,Meghalaya,,794109.0,west bengal,2W2500
2025-01-01,OD332937456834768100,Flipkart Store,LSG011,,1,-2965.25,2965.25,,Uttar Pradesh,,211003.0,west bengal,A92500
2025-01-01,OD332938705053946100,Flipkart Store,CMSM01,,1,-936.61,936.61,,Gujarat,,382405.0,west bengal,2W2500
2025-01-01,OD332971003967157100,Flipkart Store,CMSM01A,,1,-1043.75,1043.75,,Gujarat,,382355.0,west bengal,2W2500
2025-01-01,OD332972454725382100,Flipkart Store,CMSM01D,,1,-1070.54,1070.54,,Odisha,,761200.0,west bengal,2W2500
2025-01-01,OD432877404249437100,Flipkart Store,CMSM01A,,1,-1043.75,1043.75,,Tamil Nadu,,603102.0,west bengal,A92500
2025-01-01,OD432923633647768100,Flipkart Store,CMSM01C,,1,-1516.96,1516.96,,Uttar Pradesh,,226002.0,west bengal,A92500
2025-01-01,OD432937388414562100,Flipkart Store,CMSM01,,1,-936.61,936.61,,West Bengal,,722136.0,west bengal,2W2500
2025-01-01,OD432937742520220100,Flipkart Store,LRM021,,1,-2033.05,2033.05,,Jharkhand,,834009.0,west bengal,A92500
2025-01-01,OD432939924227632100,Flipkart Store,CMSM01,,1,-936.61,936.61,,Uttar Pradesh,,201306.0,west bengal,2W2500
2025-01-01,OD432962282516518100,Flipkart Store,CMSM01,,1,-936.61,936.61,,Odisha,,758022.0,west bengal,2W2500
2025-01-01,OD432978328406028100,Flipkart Store,CMSM01,,1,-891.96,891.96,,Karnataka,,562109.0,west bengal,2W2500
2025-01-01,OD432988780497639100,Flipkart Store,CMSM01D,,1,-1070.54,1070.54,,Odisha,,754141.0,west bengal,2W2500
2025-01-01,OD432989191061800100,Flipkart Store,CMSM01D,,1,-1070.54,1070.54,,Maharashtra,,400074.0,west bengal,2W2500
2025-01-01,OD332806295563559100,Flipkart Store,CMSM01B,,1,-1186.61,1186.61,,Kerala,,695584.0,west bengal,2W2500
2025-01-01,OD332841809349545100,Flipkart Store,LNUB01,,1,-1863.56,1863.56,,Rajasthan,,313324.0,west bengal,2W2500
2025-01-01,OD332919316743852100,Flipkart Store,CMSM01A,,1,-1043.75,1043.75,,West Bengal,,711110.0,west bengal,2W2500
2025-01-01,OD332931227606960100,Flipkart Store,CMSM01,,1,-936.61,936.61,,Bihar,,804402.0,west bengal,2W2500
2025-01-01,OD332971451008225100,Flipkart Store,CMSM01A,,1,-1043.75,1043.75,,Karnataka,,560054.0,west bengal,2W2500
2025-01-01,OD332973975468959100,Flipkart Store,CMSM08A,,1,-1249.11,1249.11,,Gujarat,,380061.0,west bengal,A92500
2025-01-01,OD332979609566907100,Flipkart Store,CMSM01D,,1,-1070.54,1070.54,,West Bengal,,713146.0,west bengal,2W2500
